Name,Email,Created,Onboarding Percentage,StagesHistory New Date Time,StagesHistory Onboarding Date Time,StagesHistory Launched Date Time,Reference By,Referral Name,Platform,Lead Source,CSM,Status
Blalock Electric and Solar Inc dba Blalock Electric Solar,art@blalock-electric.com,01-11-2023 15:16,16.67,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
Axiom 360,brandon@axiom360.com,01-11-2023 16:36,16.67,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
Sunly Home,jeremy.joyner@sunlyhome.com,01-11-2023 21:30,100,01-11-2023 21:33,10-11-2023 21:14,01-12-2023 00:40,,Doug Marshall,Sales Enablement,Partnership,Craig Kersey(ckersey@subcontractorhub.com),Follow Up
Bear River Mortgage Company Inc dba Sunriver Solar Power Systems,pkooi@sunriversolar.com,02-11-2023 22:31,16.67,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
GSJ Construction Company Inc dba Amerisun,Jeremy@amerisunusa.com,02-11-2023 22:31,50,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
Illume Solar Energy LLC,info@illumenrg.com,02-11-2023 22:58,16.67,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
busionname4040,vimal+leadmap@expansionjs.com,03-11-2023 07:12,0,03-11-2023 07:12,,,,,Easy Quote,Conference,,New
kevaroofing,priya+keva@expansionjs.com,03-11-2023 08:14,0,03-11-2023 08:51,,,,,Easy Quote,Website,,New
kevaroofing,priya+keva@expansionjs.com,03-11-2023 08:51,0,,30-11-2023 10:30,,,,Marketplace,Website,,Onboarding
Burning Daylight Solar,hal.stonier@gmail.com,03-11-2023 21:28,16.67,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
Family First Solar Electric,anthony@family-1st.com,03-11-2023 21:32,100,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Approved
Sun at Work Electric,kyle@sunatworksolar.com,03-11-2023 21:45,16.67,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
Orca Roofing,trinidad@orcaroofing.com,03-11-2023 22:01,0,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
Flash Construction and Roofing,kyle@flashconstrucionco.com,03-11-2023 22:06,0,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
SOLRITE ELECTRIC LLC,regan.george+1@gosolnova.com,06-11-2023 04:54,100,,,04-12-2023 17:39,,Ryan Higgins,Sales Enablement,Referral,Jeff Darling(jdarling@subcontractorhub.com),Launched
Solid Electrical Services,solidelectricalservicessd@gmail.com,07-11-2023 22:00,16.67,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
Lumio,jason.luciani@lumio.com,08-11-2023 17:10,100,08-11-2023 17:10,11-07-2024 21:11,01-10-2024 19:30,,Dustin O'Dell,Sales Enablement,Partnership,Eric Roberts(eroberts+admin@solarquote.com),Cancelled
Alltech Solar Inc,ccarmody@alltechsolarusa.com,08-11-2023 18:14,0,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
Volta Roofing,derrius@voltasolar.org,08-11-2023 18:44,50,08-11-2023 18:44,,,,Brady White,Sales Enablement,Referral,Eric Roberts(eroberts+admin@solarquote.com),Demo
Next Energy Solar,spencer@nextenergy.ai,08-11-2023 19:57,100,08-11-2023 19:57,22-01-2024 23:17,02-04-2024 23:08,,Sean Peterson,Sales Enablement,Referral,Craig Kersey(ckersey@subcontractorhub.com),Retention
Reco Roofing Inc,recoroofing@gmail.com,09-11-2023 16:41,16.67,,30-11-2023 10:30,,,Porfirio Zaguilan,Marketplace,Referral,,Onboarding
Vertex Electric Sun,joe@vertexelectricsun.com,09-11-2023 19:15,16.67,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
SolarWorld Comp,vimal+tedtingvin3409@expansionjs.com,10-11-2023 06:17,100,,10-11-2023 06:17,,,,Marketplace,,,Pending Approval
SolarElectric Inc,vimal+jmisodklc@expansionjs.com,10-11-2023 09:18,0,,30-11-2023 10:30,,,,Marketplace,Demand Gen,,Onboarding
1 Click Solar,mp3@solarquote.com,10-11-2023 12:15,100,,,10-11-2023 12:15,,,Easy Quote,,,New
Our World Energy,curtis+ourworldenergy@solarquote.com,10-11-2023 12:44,14,,10-11-2023 12:44,12-12-2023 08:38,,,Easy Quote,,,Launched
Sunly Home,jeremy.joyner@sunlyhome.com,10-11-2023 12:45,86,,,,,,Easy Quote,,,New
Easy Quote,solarquote@expansionjs.com,10-11-2023 12:45,100,,,10-11-2023 12:45,,,Easy Quote,,,New
Suntuity,edward.westervelt@suntuity.com,10-11-2023 12:46,100,,,10-11-2023 12:46,,,Easy Quote,,,New
The Solar Scout,save@thesolarscouts.com,10-11-2023 12:46,100,,,10-11-2023 12:46,,,Easy Quote,,,New
Solar World,shaiban+solarworld@expansionjs.com,10-11-2023 12:47,29,,10-11-2023 12:47,,,,Easy Quote,,,New
GoodLeap,GoodLeap+Solar@subcontractorHub.com,10-11-2023 12:47,0,10-11-2023 12:47,13-08-2024 17:14,,,,Easy Quote,,,Onboarding
WireNutz Solar LLC,wes@wnzsolar.com,10-11-2023 12:47,100,,,10-11-2023 12:47,,,Easy Quote,,,New
Galactic,bhawana+Galactic@expansionjs.com,10-11-2023 12:47,0,31-07-2024 04:59,31-07-2024 04:59,31-07-2024 04:58,,,Easy Quote,,,Onboarding
Solar Sun,garima+sun@expansionjs.com,10-11-2023 12:47,0,10-11-2023 12:47,,,,,Easy Quote,,,New
Horizons,vrushali.joshi+horizons@expansionjs.com,10-11-2023 12:48,0,16-11-2023 09:36,16-11-2023 09:36,,,,Easy Quote,,,New
Next Energy Solar,spencer@nextenergy.ai,10-11-2023 12:58,86,,10-11-2023 12:58,,,,Easy Quote,,,New
Volta Roofing,derrius@voltasolar.org,10-11-2023 12:58,0,10-11-2023 12:58,14-11-2023 04:25,,,,Easy Quote,,,Onboarding
Solnova,kelvin+solnova@subcontractorhub.com,10-11-2023 20:06,100,,10-11-2023 20:06,,,,Marketplace,,,Approved
Lumio,jason.luciani@lumio.com,13-11-2023 20:40,0,13-11-2023 20:40,,,,,Easy Quote,,,New
Eagle Energy LLC,brandon@eagleenergysolar.com,13-11-2023 20:41,16.67,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
Sun Source Energy,seanc@sunsourcenv.com,14-11-2023 16:08,0,14-11-2023 16:09,,,,Sean Peterson,Sales Enablement,Referral,,Follow Up
PWR Logix,chrisv@pwrlogix.com,15-11-2023 22:27,16.67,,30-11-2023 10:30,,,,Marketplace,,,Onboarding
ElectriCare,operations@electricare.com,16-11-2023 19:11,100,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Pending Approval
Sun Source,SeanC@sunsourcenv.com,17-11-2023 01:28,0,17-11-2023 01:31,,07-05-2024 02:58,,Sean Peterson,Easy Quote,Partnership,,Launched
Sun Source,SeanC@sunsourcenv.com,17-11-2023 01:31,0,17-11-2023 01:31,,,,,Easy Quote,,,New
Urban Solar,aconklin@urbansolar.com,17-11-2023 17:15,0,22-11-2023 16:16,,,,Anthony Conklin,Easy Quote,Referral,,New
Urban Solar,aconklin@urbansolar.com,17-11-2023 17:15,87.5,17-03-2024 20:36,11-04-2024 22:59,17-05-2024 22:48,goodleap,Anthony Conklin,Sales Enablement,Referral,Craig Kersey(ckersey@subcontractorhub.com),Launched
Tom The Solar Guy,tomthesolarguy@gmail.com,17-11-2023 18:00,0,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
Prime Home Solutions,bret@primehomesolutions.com,22-11-2023 14:41,0,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
Highpoint Solar,amyjo1975@me.com,22-11-2023 14:49,16.67,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
Urban Solar,aconklin@urbansolar.com,22-11-2023 16:16,0,22-11-2023 16:16,,,,,Easy Quote,,,New
Civic Energy,sean@civicenergy.com,22-11-2023 16:34,0,23-11-2023 18:53,,,,Machias Schoen,Easy Quote,Referral,,New
Civic Energy,sean@civicenergy.com,22-11-2023 16:34,0,23-11-2023 18:53,,,goodleap,Machias Schoen,Sales Enablement,Referral,,Follow Up
EnFin,tyler.fletcher@enfin.com,22-11-2023 16:53,0,22-11-2023 20:49,,,,Sunly,Easy Quote,Referral,,New
EnFin,tyler.fletcher@enfin.com,22-11-2023 16:53,0,22-11-2023 20:49,,,,Sunly,Sales Enablement,Referral,,Dormant
Genesis Solar,willbeliles@gmail.com,22-11-2023 18:14,100,22-11-2023 18:15,27-11-2023 17:08,18-12-2023 17:15,,Solar Powur On,Sales Enablement,Referral,Craig Kersey(ckersey@subcontractorhub.com),Cancelled
EnFin,tyler.fletcher@enfin.com,22-11-2023 20:49,0,22-11-2023 20:49,,,,,Easy Quote,,,New
Civic Energy,sean@civicenergy.com,23-11-2023 18:53,0,23-11-2023 18:53,,,,,Easy Quote,,,New
Invisiblesun Energy,clayton@invisiblesunenergy.com,27-11-2023 13:35,0,28-11-2023 13:38,,,,,Sales Enablement,LinkedIn,,Follow Up
Triple Line Solar,jeff@triplelinesolar.com,28-11-2023 13:27,0,,30-11-2023 10:30,,,,Marketplace,LinkedIn,,Onboarding
Solar Masons,noel@solarmasons.com,28-11-2023 14:05,0,28-11-2023 14:06,,,,,Easy Quote,LinkedIn,,New
utah,rbrenes+demo1@subcontractorhub.com,01-12-2023 06:22,100,,01-12-2023 06:22,,,,Marketplace,,,Approved
utah demo 2,rbrenes+demo2@subcontractorhub.com,01-12-2023 06:31,100,,01-12-2023 06:31,,,,Marketplace,,,Approved
Universal Solar Direct,yama031589@yahoo.com,01-12-2023 18:48,0,17-03-2024 20:34,,,goodleap,,Sales Enablement,Website,Curtis Hills(curtis@subcontractorhub.com),Dormant
EagleView,geoff.green@eagleview.com,04-12-2023 19:09,83.33,04-12-2023 19:10,04-12-2023 19:10,,,,Sales Enablement,Partnership,,Dormant
LightReach,machias.schoen@palmetto.com,04-12-2023 19:27,0,,04-12-2023 19:27,,,Machias Schoen,Marketplace,Partnership,,Onboarding
Palmetto Energy,machias.schoen@palmetto.com,04-12-2023 19:27,75,04-12-2023 19:27,22-02-2024 15:12,24-09-2024 16:23,,Machias Schoen,Sales Enablement,Partnership,Eric Roberts(eroberts+admin@solarquote.com),Launched
Patriot Power Company,mlokey+installer@patriotpowercompany.com,04-12-2023 22:36,33.33,,13-12-2023 16:42,,,,Marketplace,,,Onboarding
Solar PowurON,curtis+powuron@subcontractorhub.com,05-12-2023 17:00,0,,22-02-2024 18:58,,,,Sales Enablement,,Curtis Hills(curtis@subcontractorhub.com),Dormant
Vibe Solar,xiomara@vibesolar.com,05-12-2023 21:02,0,05-12-2023 21:03,,,,,Sales Enablement,LinkedIn,,Not Interested
Demo Marketplace,vimal+demolive@expansionjs.com,06-12-2023 04:42,100,,06-12-2023 04:42,,,,Marketplace,,,Approved
Paradise Renewables Inc,pbeville@gmail.com,06-12-2023 14:01,100,,28-12-2023 21:57,,,,Marketplace,Subcontractorhub,,Approved
CM Solar Electric Inc,carlos@cmsolarelectric.com,06-12-2023 14:57,0,16-01-2024 00:48,,,,,Sales Enablement,Subcontractorhub,,Demo
Cali Energy,calisolargroup@gmail.com,06-12-2023 14:57,85.72,16-01-2024 18:12,28-02-2024 21:17,19-04-2024 17:41,,,Sales Enablement,Subcontractorhub,Craig Kersey(ckersey@subcontractorhub.com),Dormant
Eco Solar USA LLC,kyanh@ecosolarusa.com,06-12-2023 14:57,87.5,22-12-2023 14:55,28-02-2024 17:15,19-04-2024 17:52,,,Sales Enablement,LinkedIn,Craig Kersey(ckersey@subcontractorhub.com),Retention
Go Solar Power,rafael@gosolarpower.com,06-12-2023 19:12,0,06-12-2023 19:14,,,,,Sales Enablement,LinkedIn,,Not Interested
Colorado Solar,justin@cosolarco.com,07-12-2023 22:35,100,07-12-2023 22:35,21-12-2023 16:10,28-12-2023 17:28,goodleap,Sean Petersen,Sales Enablement,Partnership,Craig Kersey(ckersey@subcontractorhub.com),Launched
Smart Energy Alliance,loganjlandry@gmail.com,11-12-2023 18:04,0,14-10-2024 21:54,05-02-2024 02:52,,,Jeremy Joyner,Sales Enablement,Referral,Eric Roberts(eroberts+admin@solarquote.com),New
Assured Solar,rob@assuredsolar.com,11-12-2023 22:48,0,11-12-2023 22:48,,,,,Sales Enablement,LinkedIn,,Follow Up
John Smith Solar Company,jsmithsolarcompany@gmail.com,13-12-2023 18:25,0,,13-12-2023 18:25,,,,Marketplace,,,New
TXU Energy,txu@subcontractorhub.com,13-12-2023 19:21,0,13-12-2023 19:21,13-12-2023 23:18,,,,Easy Quote,,,Onboarding
Zaguilan Roofing Service Co,porfiriozaguilan@yahoo.com,13-12-2023 21:22,100,,13-12-2023 21:22,,,,Marketplace,,,Pending Approval
Patriot Power,solarquote+patriotpower@expansionjs.com,14-12-2023 10:10,0,14-12-2023 10:10,21-02-2024 02:57,,,,Easy Quote,,,Onboarding
Solcius,abramhall@solcius.com,14-12-2023 23:08,0,14-12-2023 23:09,,,,Dustin Odell,Easy Quote,Partnership,,New
VyVue,ben.h@vyvue.com,14-12-2023 23:26,0,14-12-2023 23:28,,,,Matthew Petri,Easy Quote,Partnership,,New
VyVue,ben.h@vyvue.com,14-12-2023 23:26,0,,14-12-2023 23:28,,,Matthew Petri,Marketplace,Partnership,,Onboarding
VyVue,ben.h@vyvue.com,14-12-2023 23:26,100,14-12-2023 23:28,05-02-2024 23:20,18-03-2024 15:29,,Matthew Petri,Sales Enablement,Partnership,Eric Roberts(eroberts+admin@solarquote.com),Retention
EE&C Electrical,neubanks@eeandc.com,18-12-2023 17:54,0,18-12-2023 17:58,,,,Sean Peterson,Easy Quote,Partnership,,New
EE&C Electrical,neubanks@eeandc.com,18-12-2023 17:54,0,18-12-2023 17:59,,,,Sean Peterson,Sales Enablement,Partnership,,Dormant
Vespa Solar,tj@vespasolar.com,18-12-2023 18:47,100,18-12-2023 19:57,21-12-2023 16:10,26-01-2024 03:15,,Matthew Potter,Sales Enablement,Referral,Eric Roberts(eroberts+admin@solarquote.com),Launched
Simple Power,toby@gosimplepower.com,18-12-2023 19:10,100,18-12-2023 19:58,04-01-2024 18:17,20-01-2024 20:55,goodleap,Matthew Potter,Sales Enablement,Referral,Eric Roberts(eroberts+admin@solarquote.com),Launched
Stockdale Solar,tyler.p@stockdalesolar.co,20-12-2023 07:27,0,,15-01-2024 21:24,,,,Marketplace,Subcontractorhub,,Onboarding
Nova West Solar,ian@novawestsolar.com,20-12-2023 07:27,0,16-01-2024 19:50,,,,,Sales Enablement,Subcontractorhub,,Follow Up
Energy Concepts Enterprises Inc,carlos@energyconceptsfresno.com,20-12-2023 07:27,0,03-01-2024 22:16,,,,,Sales Enablement,LinkedIn,,Dormant
Supernova Energy Corporation,ceo@supernovaenergy.cloud,20-12-2023 07:27,0,22-01-2024 16:41,,,,,Sales Enablement,Subcontractorhub,,Dormant
Solar Savings Direct,kyle.baker@solarsavingsdirect.com,20-12-2023 07:27,0,17-01-2024 20:19,,,,Justin Fellenz,Sales Enablement,Website,,Follow Up
Talon Home Services,admin@talonhomeservices.com,20-12-2023 18:12,100,20-12-2023 18:12,19-02-2024 16:49,,,Justin Brach,Sales Enablement,Referral,Craig Kersey(ckersey@subcontractorhub.com),Dormant
SOLRITE Demo,curtis+SRMASTER@subcontractorhub.com,21-12-2023 00:01,0,,,,solrite,,Sales Enablement,,,Demo
Flagship Solar,Trent@flagshipsolar.co,21-12-2023 23:33,100,,04-01-2024 20:27,04-01-2024 20:27,,Ryan Higgins,Sales Enablement,Referral,Craig Kersey(ckersey@subcontractorhub.com),Launched
Vibe Solar,alan@vibesolar.com,22-12-2023 15:20,0,22-12-2023 15:21,,,,,Sales Enablement,LinkedIn,,Not Interested
Sespe Power Solutions,ish@sespepowersolutions.com,22-12-2023 22:00,100,15-01-2024 20:31,22-01-2024 16:38,29-01-2024 01:00,,,Sales Enablement,LinkedIn,Eric Roberts(eroberts+admin@solarquote.com),Launched
Energy Renovation Center,pault@energyrenovationcenter.com,27-12-2023 19:06,100,,04-01-2024 20:31,21-01-2024 21:51,solrite,Ryan Higgins,Sales Enablement,Referral,Eric Roberts(eroberts+admin@solarquote.com),Launched
Brighthouse,tom@brighthouse.solar,28-12-2023 21:07,100,,04-01-2024 20:28,04-01-2024 20:28,,Ryan Higgins,Sales Enablement,Referral,Craig Kersey(ckersey@subcontractorhub.com),Launched
Soleil LLC,justin@sharesoleil.com,28-12-2023 21:08,0,28-12-2023 21:08,28-02-2024 19:17,05-06-2024 23:10,,,Easy Quote,Referral,,Launched
xeroxsuntuity,bhawana+xeroxsuntuity@expansionjs.com,29-12-2023 09:38,0,29-12-2023 09:38,,,,,Easy Quote,,,New
suncopy,sdpdspfd@gmail.com,29-12-2023 11:52,0,29-12-2023 11:52,,,,,Easy Quote,,,New
suncopy2,dsjijsofsjoifaj@gmail.com,29-12-2023 12:06,0,29-12-2023 12:06,,,,,Easy Quote,,,New
Sunny Energy LLC,cwood@sunnyenergy.solar,29-12-2023 14:50,16.67,22-01-2024 18:52,20-06-2024 22:36,,,,Sales Enablement,LinkedIn,Eric Roberts(eroberts+admin@solarquote.com),Retention
Panasun Solar,sam@panasunsolar.com,29-12-2023 14:50,0,15-01-2024 22:28,,,,,Sales Enablement,LinkedIn,,Dormant
US SolarWorks,pete@ussolarworks.com,29-12-2023 14:50,0,16-01-2024 20:13,,,,,Sales Enablement,LinkedIn,,Unqualified
Beacon Solar,phil@beaconsolarma.com,29-12-2023 14:53,87.5,16-01-2024 19:53,19-04-2024 15:34,13-05-2024 19:47,,,Sales Enablement,LinkedIn,Eric Roberts(eroberts+admin@solarquote.com),Retention
Sunfire Construction,sunfire@sunfireconstruction.com,29-12-2023 16:28,88.89,,04-01-2024 20:29,04-01-2024 21:45,solrite,Ryan Higgins,Sales Enablement,Referral,Craig Kersey(ckersey@subcontractorhub.com),Launched
photovoltaic,bhawana+Photovoltaic@expansionjs.com,01-01-2024 07:04,0,01-01-2024 07:04,,,,,Easy Quote,,,New
dafaultsunnova,bhawana+dafaultsunnova@expansionjs.com,01-01-2024 08:28,0,01-01-2024 08:28,,,,,Easy Quote,,,New
Dawn to Dusk Solar,jeremy@solardawntodusk.com,02-01-2024 16:22,0,02-01-2024 16:47,,,,Matthew Petri,Easy Quote,Referral,,New
Dawn to Dusk Solar,jeremy@solardawntodusk.com,02-01-2024 16:22,100,02-01-2024 16:47,09-01-2024 02:15,28-01-2024 21:39,goodleap,Matthew Petri,Sales Enablement,Referral,Eric Roberts(eroberts+admin@solarquote.com),Launched
ES Solar LLC,caleyb@essolar.com,02-01-2024 21:05,100,,04-01-2024 20:30,06-11-2024 17:01,solrite,Ryan Higgins,Sales Enablement,Referral,Eric Roberts(eroberts+admin@solarquote.com),Launched
EnergyONE Renewables,shane@energyonerenewables.com,02-01-2024 21:25,100,02-01-2024 21:26,13-08-2024 18:18,11-04-2024 16:21,goodleap,Matthew Potter,Sales Enablement,Referral,Eric Roberts(eroberts+admin@solarquote.com),Ready To Launch
Sky Limit Ventures SEP,onboarding@solarenergy.partners,02-01-2024 22:21,88.89,,04-01-2024 20:30,21-01-2024 21:52,solrite,Ryan Higgins,Sales Enablement,Referral,Craig Kersey(ckersey@subcontractorhub.com),Dormant
Sun Solar,jcarpenter@ussunsolar.com,03-01-2024 19:03,33.33,03-01-2024 19:03,26-02-2024 20:30,,,,Sales Enablement,,Kelvin Hayes(khayes+1@subcontractorhub.com),Dormant
Kodiak,emmettnash@kodiakroofing.com,03-01-2024 22:07,100,,04-01-2024 20:27,04-01-2024 20:27,solrite,Ryan Higgins,Sales Enablement,Referral,Eric Roberts(eroberts+admin@solarquote.com),Launched
Safe Haven,gazama@mysafehaven.com,03-01-2024 22:39,71.43,03-01-2024 22:39,,,,Dustin Mansell,Sales Enablement,Partnership,,Dormant
suntuitylivecopy,bhawana+dafaultsunnovadata@expansionjs.com,04-01-2024 04:43,0,04-01-2024 04:43,,,,,Easy Quote,,,New
newgmail,bhawanatiwari2104@gmail.com,04-01-2024 05:31,0,04-01-2024 05:31,,,,,Easy Quote,,,New
email issue,bhawana@expansionjs.com,04-01-2024 06:29,0,04-01-2024 06:29,,,,,Easy Quote,,,New
Renewable Power,jesparza@renewablepoweraz.com,05-01-2024 18:14,87.5,05-01-2024 18:16,20-02-2024 18:22,15-03-2024 20:28,goodleap,Dustin Mansell,Sales Enablement,Partnership,Craig Kersey(ckersey@subcontractorhub.com),Launched
American Pacific Mortgage,chris.sutherland@apmortgage.com,08-01-2024 20:43,0,08-01-2024 21:34,,,,,Easy Quote,,,New
battery org,priya+testbatt@expansionjs.com,10-01-2024 05:15,87.5,,,25-04-2024 13:54,,,Sales Enablement,,Priyanka Datta(priyanka@expansionjs.com),Launched
Solar Wave,steven@thesolarwave.com,10-01-2024 21:01,0,10-01-2024 21:03,,,,,Sales Enablement,LinkedIn,,Not Interested
Brightlink Home,mitch@brightlinkhome.com,11-01-2024 17:57,0,11-01-2024 18:19,,,,Dustin Mansell,Sales Enablement,Partnership,,Dormant
Goodco,dan@goodcosolar.com,12-01-2024 23:04,83.33,,19-02-2024 16:52,13-03-2024 17:40,solrite,Ryan Higgins,Sales Enablement,Referral,Craig Kersey(ckersey@subcontractorhub.com),Retention
LG Group LLC,lg.groupllc1@gmail.com,15-01-2024 18:40,100,,15-01-2024 18:40,,,Aavra Ogden,Marketplace,Referral,,Approved
Home Smart Construction,jacob@homesmartimprovements.com,15-01-2024 20:39,0,15-01-2024 20:40,,,,,Sales Enablement,,,Negotiation
Trinity Power,jayson@trinitypowerca.com,15-01-2024 20:52,88.89,15-01-2024 20:52,16-02-2024 18:19,16-03-2024 00:10,solrite,,Sales Enablement,,Eric Roberts(eroberts+admin@solarquote.com),Retention
One For All,tfores@onenation.energy,15-01-2024 23:38,88.89,,,27-02-2024 21:00,solrite,Ryan Higgins,Sales Enablement,Referral,Eric Roberts(eroberts+admin@solarquote.com),Launched
SunnyMac Solar,benjamina@sunnymacsolar.com,18-01-2024 21:11,100,18-01-2024 21:12,31-01-2024 23:01,09-05-2024 17:47,goodleap,,Sales Enablement,Website,Jeff Darling(jdarling@subcontractorhub.com),Launched
Ion Solar Solutions,info@ionsolarsolutions.com,19-01-2024 21:04,0,19-01-2024 21:06,27-02-2024 23:50,11-03-2024 19:49,,Matthew Cook,Sales Enablement,Referral,Craig Kersey(ckersey@subcontractorhub.com),Cancelled
Aveyo Sales Direct,info@aveyo.com,19-01-2024 21:10,0,19-01-2024 21:17,26-02-2024 20:28,,,Dustin Mansell,Sales Enablement,Referral,Craig Kersey(ckersey@subcontractorhub.com),Negotiation
Mother Nature Solar,mark@mothernaturesolar.com,22-01-2024 15:55,0,22-01-2024 15:55,,,,,Sales Enablement,Website,,Dormant
NJ Solar Power,bhoey@njsolarpower.com,22-01-2024 17:58,0,22-01-2024 18:01,,,,,Easy Quote,Website,,New
Infinium Solar Inc,jeff@infiniumsolar.com,23-01-2024 21:59,100,23-01-2024 21:59,29-01-2024 16:03,05-02-2024 02:22,,,Sales Enablement,Subcontractorhub,Craig Kersey(ckersey@subcontractorhub.com),Retention
Meta Solar,kylebank@gmail.com,24-01-2024 17:33,0,24-01-2024 17:33,22-04-2024 15:28,,,,Sales Enablement,LinkedIn,Eric Roberts(eroberts+admin@solarquote.com),Dormant
Pacific Solar Company,dandrist@PacificSolarCompany.com,25-01-2024 17:15,0,25-01-2024 17:15,,,,,Sales Enablement,Subcontractorhub,,Not Interested
Sun Access,yramos@sunaccesspr.com,25-01-2024 18:06,20,11-06-2024 19:45,31-01-2024 01:03,,solrite,Ryan Higgins,Sales Enablement,Referral,Curtis Hills(curtis@subcontractorhub.com),New
Eco Management Systems,robi@ecomanagementsystems.com,25-01-2024 19:41,88.89,,,27-02-2024 20:54,,Ryan Higgins,Sales Enablement,Referral,Eric Roberts(eroberts+admin@solarquote.com),Launched
SunSol LLC,frankie@sunsolpr.com,26-01-2024 03:21,88.89,,,28-02-2024 20:57,solrite,Ryan Higgins,Sales Enablement,Referral,Craig Kersey(ckersey@subcontractorhub.com),Launched
Option One Solar,trever@optiononesolar.com,26-01-2024 22:31,100,26-01-2024 22:31,03-02-2024 18:15,,,,Sales Enablement,Subcontractorhub,Craig Kersey(ckersey@subcontractorhub.com),Dormant
PowerSol USA,jeffrey@powersolusa.com,29-01-2024 14:43,100,29-01-2024 14:43,31-01-2024 01:40,05-02-2024 02:26,,,Sales Enablement,Marketing,Craig Kersey(ckersey@subcontractorhub.com),Launched
Underline Energy Concepts,sal@underlineconcepts.com,29-01-2024 16:28,100,29-01-2024 16:28,31-01-2024 23:01,12-02-2024 15:47,,,Sales Enablement,Marketing,Craig Kersey(ckersey@subcontractorhub.com),Launched
Maxify,manny@1upsolar.com,29-01-2024 19:14,0,29-01-2024 19:14,17-02-2024 20:38,,,,Sales Enablement,Subcontractorhub,Curtis Hills(curtis@subcontractorhub.com),Dormant
True Pwr,jon@truepwr.io,29-01-2024 20:21,90,,,28-02-2024 00:33,solrite,Ryan Higgins,Sales Enablement,Referral,Craig Kersey(ckersey@subcontractorhub.com),Launched
Solar Energy Partners,bhutchins@nope.com,29-01-2024 23:44,87.5,29-01-2024 23:44,03-02-2024 18:14,05-03-2024 05:18,,Dustin Mansell,Sales Enablement,Partnership,Eric Roberts(eroberts+admin@solarquote.com),Launched
abc,vimal+testing@expansionjs.com,30-01-2024 12:00,0,30-01-2024 12:00,,,,,Sales Enablement,Webinar,,Demo
CleanRenew LLC,dportalatin@puraenergiapr.com,30-01-2024 14:57,100,,,27-02-2024 20:52,solrite,Ryan Higgins,Sales Enablement,Referral,Eric Roberts(eroberts+admin@solarquote.com),Launched
United Energy Partners,contact@uepsolar.com,30-01-2024 19:58,100,30-01-2024 19:58,02-02-2024 19:46,05-02-2024 02:39,goodleap,,Sales Enablement,LinkedIn,Craig Kersey(ckersey@subcontractorhub.com),Launched
Heritage Solar Co,klay@heritagesolarco.com,30-01-2024 21:16,100,,,28-02-2024 20:57,solrite,Ryan Higgins,Sales Enablement,Referral,Craig Kersey(ckersey@subcontractorhub.com),Launched
Florida Eco Electric LLC,Jazmin@womeninsolar.com,30-01-2024 23:58,0,,,,solrite,Ryan Higgins,Sales Enablement,Referral,Curtis Hills(curtis@subcontractorhub.com),Dormant
Spartan Power Home Solutions,ken+1@spartanpowerinc.com,31-01-2024 13:49,0,31-01-2024 13:49,,,,,Sales Enablement,LinkedIn,,Dormant
Blue Line Roofing & Exterior,drew@bluelineroof.net,31-01-2024 17:38,0,31-01-2024 17:38,,,,,Sales Enablement,Website,,Dormant
Nextgen Solar Energy,matt.l.stiner@gmail.com,31-01-2024 17:43,57.14,31-01-2024 17:43,21-02-2024 22:30,,,,Sales Enablement,Website,Eric Roberts(eroberts+admin@solarquote.com),Retention
Power City LLC,crosario@powercity.com,31-01-2024 19:29,40,,,04-12-2023 17:39,solrite,Ryan Higgins,Sales Enablement,Referral,Curtis Hills(curtis@subcontractorhub.com),New
True Renewable Energy,samr@trerenew.com,01-02-2024 03:07,0,01-02-2024 03:07,,,,,Sales Enablement,Webinar,,Dormant
A1 Nova Energy Inc,info@a1novaenergyinc.com,01-02-2024 21:48,0,01-02-2024 21:48,,,,,Sales Enablement,Subcontractorhub,,Dormant
South West Sun Solar,hieu.nguyen@southwestsunsolar.com,02-02-2024 17:13,100,,,11-03-2024 17:48,solrite,Ryan Higgins,Sales Enablement,Referral,Eric Roberts(eroberts+admin@solarquote.com),Launched
